id,jp,zh,status,kind,src,ctl,occurrences,note
91267,タップ,点击,translated,proper-noun,36724bec3c,br=0 nl=0,59,
91268,メッセージ,消息,translated,proper-noun,6640e4a392,br=0 nl=0,59,
91269,セット,套装,translated,proper-noun,4f70eee769,br=0 nl=0,59,
91270,ヴァイオリン,小提琴,translated,proper-noun,668c16f747,br=0 nl=0,59,
91271,クーリン,库琳,translated,proper-noun,1c6f5779b8,br=0 nl=0,57,
91272,ワクワク,满怀期待,translated,proper-noun,e7676d6c38,br=0 nl=0,55,
91273,パリー,帕里,translated,proper-noun,9824179f52,br=0 nl=0,55,
91274,ベッド,床,translated,proper-noun,de92f995f0,br=0 nl=0,54,
91275,サラダ,沙拉,translated,proper-noun,88b9442e2d,br=0 nl=0,54,
91276,イベント,事件,translated,proper-noun,e18b1ea15d,br=0 nl=0,53,
91277,パフェ,芭菲,translated,proper-noun,c6653ec7e9,br=0 nl=0,52,
91278,ゲーム,游戏,translated,proper-noun,3081d77392,br=0 nl=0,51,
91279,アルノサージュ,Ar nosurge,translated,proper-noun,ba1e15ed75,br=0 nl=0,51,
91280,タオル,毛巾,translated,proper-noun,ab3ea82f2c,br=0 nl=0,51,
91281,モデル,模型,translated,proper-noun,1e20dd673d,br=0 nl=0,50,
91282,チョコ,巧克力,translated,proper-noun,69a825a28c,br=0 nl=0,50,
91283,キノコ,蘑菇,translated,proper-noun,bf3d4468e6,br=0 nl=0,50,
91284,アクセス,访问,translated,proper-noun,94b2107296,br=0 nl=0,49,
91285,シナリオ,剧本,translated,proper-noun,ac940b15df,br=0 nl=0,48,
91286,サーバー,服务器,translated,proper-noun,ad2a4879c0,br=0 nl=0,48,
91287,メガネ,眼镜,translated,proper-noun,bc1a2abb16,br=0 nl=0,46,
91288,サイズ,尺寸,translated,proper-noun,cd33611222,br=0 nl=0,45,
91289,コーヒー,咖啡,translated,proper-noun,cab9ec7ba2,br=0 nl=0,45,
91290,シェル,榭鲁,translated,proper-noun,8ed89b2f0a,br=0 nl=0,45,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91291,フィギュア,手办,translated,proper-noun,9dec44a3aa,br=0 nl=0,45,
91292,データ,数据,translated,proper-noun,d4d63da93d,br=0 nl=0,44,
91293,レコーディングエンジニア,录音工程师,translated,proper-noun,dcee02fe85,br=0 nl=0,44,
91294,ロボット,机器人,translated,proper-noun,10f3e14d01,br=0 nl=0,43,
91295,コード,代码,translated,proper-noun,31c02c9bf6,br=0 nl=0,42,
91296,スープ,汤,translated,proper-noun,5622965548,br=0 nl=0,42,
91297,プログラム,程序,translated,proper-noun,7d0d433e79,br=0 nl=0,42,
91298,タッチ,触摸,translated,proper-noun,3b559e6d9c,br=0 nl=0,41,
91299,タイプ,类型,translated,proper-noun,3fc53d5169,br=0 nl=0,41,
91300,システム,系统,translated,proper-noun,b3d83cd9d9,br=0 nl=0,40,
91301,ジュース,果汁,translated,proper-noun,08a070c801,br=0 nl=0,40,
91302,フォロー,关注,translated,proper-noun,d9d966e5a3,br=0 nl=0,39,
91303,コンコン,咚咚,translated,proper-noun,e306de5e96,br=0 nl=0,39,
91304,チューブ,管体,translated,proper-noun,adeab69015,br=0 nl=0,39,
91305,ポールトゥウィン,Pole To Win,translated,proper-noun,e00a82c1ad,br=0 nl=0,39,
91306,メテオライズ,流星化,translated,proper-noun,35c529baed,br=0 nl=0,39,
91307,オーション,海洋,translated,proper-noun,7ddbfbd345,br=0 nl=0,38,
91308,テーブル,桌子,translated,proper-noun,ad4232da13,br=0 nl=0,38,
91309,グランフェニックス,大凤凰,translated,proper-noun,ab9db84f55,br=0 nl=0,38,
91310,アルバム,相册,translated,proper-noun,d720ac115b,br=0 nl=0,37,
91311,クリーム,奶油,translated,proper-noun,659f771ba6,br=0 nl=0,37,
91312,レコーディング,录音,translated,proper-noun,2d6530e92a,br=0 nl=0,37,
91313,ケンカ,吵架,translated,proper-noun,d5f34b9702,br=0 nl=0,37,
91314,ジリリウム,吉利利姆,translated,proper-noun,425e8ee484,br=0 nl=0,37,
91315,アタシ,我,translated,proper-noun,137a578bae,br=0 nl=0,36,
91316,プール,泳池,translated,proper-noun,8075af2928,br=0 nl=0,36,
91317,リンク,链接,translated,proper-noun,8fe750a539,br=0 nl=0,36,
91318,ウェーブ,波动,translated,proper-noun,ba0b8e1e75,br=0 nl=0,36,
91319,プログラミング,编程,translated,proper-noun,a063da1b9c,br=0 nl=0,36,
91320,エージェント,特工,translated,proper-noun,b8d9e324ec,br=0 nl=0,35,
91321,オイル,油,translated,proper-noun,3c468e131b,br=0 nl=0,35,
91322,チャンス,机会,translated,proper-noun,fd395d8bb2,br=0 nl=0,35,
91323,ベゼル,贝捷尔,translated,proper-noun,2df438793b,br=0 nl=0,34,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91324,サービス,服务,translated,proper-noun,2dd5ca6b6b,br=0 nl=0,34,
91325,セキュリティ,安全,translated,proper-noun,81b9e6929d,br=0 nl=0,34,
91326,プレゼント,礼物,translated,proper-noun,5a5f08df94,br=0 nl=0,33,
91327,シンプル,简约,translated,proper-noun,f58ac571c9,br=0 nl=0,33,
91328,デザート,甜点,translated,proper-noun,1eaaa08bb3,br=0 nl=0,33,
91329,タイトル,标题,translated,proper-noun,47b4753f22,br=0 nl=0,32,
91330,エレベイタ,升降机,translated,proper-noun,f7c2aac2c5,br=0 nl=0,32,
91331,タイミング,时机,translated,proper-noun,d34a0b6d21,br=0 nl=0,32,
91332,バイオス,BIOS,translated,proper-noun,7f1d3cea01,br=0 nl=0,32,
91333,メギド,梅吉多,translated,proper-noun,f8cb577f04,br=0 nl=0,32,
91334,ウルゥリィヤ,乌鲁莉亚,translated,proper-noun,8d7d82f52f,br=0 nl=0,31,
91335,カロリー,卡路里,translated,proper-noun,92945c9f37,br=0 nl=0,31,
91336,グルメイト,美食伴侣,translated,proper-noun,5cc59ce16a,br=0 nl=0,31,
91337,ショック,震惊,translated,proper-noun,0dd5e6f4f0,br=0 nl=0,31,
91338,ムービー,影像,translated,proper-noun,1087a3cdf3,br=0 nl=0,30,
91339,プラネタリウム,天文馆,translated,proper-noun,946af0190f,br=0 nl=0,30,
91340,ハンバーグ,汉堡排,translated,proper-noun,d146b38f58,br=0 nl=0,30,
91341,リンカージェン,连接基因,translated,proper-noun,9e9c4bf310,br=0 nl=0,30,
91342,テスト,测试,translated,proper-noun,63b560db88,br=0 nl=0,30,
91343,デバッグ,调试,translated,proper-noun,93640dad3a,br=0 nl=0,30,
91344,ガッカリ,失望,translated,proper-noun,8203bc8d35,br=0 nl=0,30,
91345,チェック,检查,translated,proper-noun,0e9a2e499f,br=0 nl=0,29,
91346,プレート,铭牌,translated,proper-noun,fd37704db4,br=0 nl=0,29,
91347,アイツ,那家伙,translated,proper-noun,780109b0fd,br=0 nl=0,29,
91348,メロン,甜瓜,translated,proper-noun,16acc50bb9,br=0 nl=0,28,
91349,ジャジャーン,登登――,translated,proper-noun,97b9753ff8,br=0 nl=0,28,
91350,ジェノミリンク,杰诺米链接,translated,proper-noun,567e4b286b,br=0 nl=0,27,
91351,スタッフ,员工,translated,proper-noun,3ec1136d47,br=0 nl=0,27,
91352,シーン,场景,translated,proper-noun,9feee177dc,br=0 nl=0,27,
91353,プロポーズ,求婚,translated,proper-noun,0f74b8e91d,br=0 nl=0,27,
91354,ナデナデ,摸摸头,translated,proper-noun,69d6efa52d,br=0 nl=0,27,
91355,カタログ,目录,translated,proper-noun,eabd377255,br=0 nl=0,27,
91356,ガラス,玻璃,translated,proper-noun,d3ca8a8168,br=0 nl=0,27,
91357,カレー,咖喱,translated,proper-noun,c143148270,br=0 nl=0,27,
91358,モロッカ,莫罗卡,translated,proper-noun,c4035268d8,br=0 nl=0,27,
91359,コンテ・,分镜・,translated,proper-noun,fa7a65a469,br=0 nl=0,27,
91360,ライバル,宿敌,translated,proper-noun,98b9eb5270,br=0 nl=0,27,
91361,パートナー,搭档,translated,proper-noun,51c6ed0e17,br=0 nl=0,26,
91362,エルリンクス,艾尔林克斯,translated,proper-noun,e3aedcde44,br=0 nl=0,26,
91363,バスタオル,浴巾,translated,proper-noun,143b615a01,br=0 nl=0,26,
91364,プログラマーズセクション,程序员部门,translated,proper-noun,44c735ef17,br=0 nl=0,26,
91365,デザイナーズセクション,设计师部门,translated,proper-noun,4ec447bf85,br=0 nl=0,26,
91366,デベロップメントマネージャー,开发经理,translated,proper-noun,a3540a5b0b,br=0 nl=0,26,
91367,キャラクターデザイン,角色设计,translated,proper-noun,34ac32a91f,br=0 nl=0,26,
91368,セカイパート,世界部分,translated,proper-noun,078b647a1a,br=0 nl=0,26,
91369,ワールドモデリング,世界建模,translated,proper-noun,8443ae1813,br=0 nl=0,26,
91370,シャールデザイン,夏尔设计,translated,proper-noun,9d9cefacba,br=0 nl=0,26,
91371,シャールモデリング,夏尔建模,translated,proper-noun,9e768da080,br=0 nl=0,26,
91372,テクニカルエンジニア,技术工程师,translated,proper-noun,1f8b0ef79d,br=0 nl=0,26,
91373,キャラクターセットアップ,角色装配,translated,proper-noun,2d9c1a161a,br=0 nl=0,26,
91374,マネジメント,管理,translated,proper-noun,644f6dd8a3,br=0 nl=0,26,
91375,バックグラウンドミュージック,背景音乐,translated,proper-noun,a5e60b8440,br=0 nl=0,26,
91376,コンポーザー,作曲家,translated,proper-noun,259843924f,br=0 nl=0,26,
91377,ロジスティックス,后勤,translated,proper-noun,554fc1b9b0,br=0 nl=0,26,
91378,エクストリーム,极限,translated,proper-noun,4974c64ff1,br=0 nl=0,26,
91379,モデリング,建模,translated,proper-noun,a99c62cf43,br=0 nl=0,26,
91380,ポイント・ピクチャーズ,Point Pictures,translated,proper-noun,4b9cc20967,br=0 nl=0,26,
91381,・ミドルウェア,・中间件,translated,proper-noun,854c88dad0,br=0 nl=0,26,
91382,フロンティアワークス,Frontier Works,translated,proper-noun,c8895cc212,br=0 nl=0,26,
91383,プロデューサー,制作人,translated,proper-noun,575cf0850c,br=0 nl=0,26,
91384,オンライン,在线,translated,proper-noun,69078300f2,br=0 nl=0,25,
91385,フレンド,好友,translated,proper-noun,a2f06a5c73,br=0 nl=0,25,
91386,セカイリンク,世界链接,translated,proper-noun,246a7408ea,br=0 nl=0,25,
91387,ミキシング,混音,translated,proper-noun,dd3c09920b,br=0 nl=0,25,
91388,ピッタリ,正合适,translated,proper-noun,fafbc54621,br=0 nl=0,24,
91389,スイッチ,开关,translated,proper-noun,b3a79104b3,br=0 nl=0,24,
91390,イタズラ,恶作剧,translated,proper-noun,e1f2009880,br=0 nl=0,24,
91391,イオナサル・ククルル・プリシェール,依欧娜萨鲁・库库鲁鲁・普立薛尔,translated,proper-noun,b63f5a697d,br=0 nl=0,24,官方译名(光荣特库摩台湾)官方译名(光荣特库摩台湾)
91392,プニプニ,软绵绵,translated,proper-noun,b8747ba6a2,br=0 nl=0,24,
91393,サンタ,圣诞老人,translated,proper-noun,1923ef8214,br=0 nl=0,23,
91394,レシピブック,配方书,translated,proper-noun,e2a0755734,br=0 nl=0,23,
91395,エレキベース,电贝斯,translated,proper-noun,97b8e005a2,br=0 nl=0,23,
91396,バランス,平衡,translated,proper-noun,b53db1eab7,br=0 nl=0,23,
91397,アクセサリー,饰品,translated,proper-noun,56301c76c1,br=0 nl=0,22,
91398,リスト,列表,translated,proper-noun,b096d14061,br=0 nl=0,22,
91399,コメント,评语,translated,proper-noun,41a632efa3,br=0 nl=0,22,
91400,アトラクション,游乐设施,translated,proper-noun,49e19aabfa,br=0 nl=0,22,
91401,ダイエット,节食,translated,proper-noun,5f8e507f93,br=0 nl=0,22,
91402,ケーブル,线缆,translated,proper-noun,084c4dd45f,br=0 nl=0,22,
91403,ドレッシング,调味汁,translated,proper-noun,04e72cd363,br=0 nl=0,22,
91404,パラライノ,帕拉莱诺,translated,proper-noun,989c105a5b,br=0 nl=0,22,
91405,ドキッ,心中一惊,translated,proper-noun,54f1c40f35,br=0 nl=0,22,
91406,オルゴール,八音盒,translated,proper-noun,38c2604e5d,br=0 nl=0,21,
91407,ファン,粉丝,translated,proper-noun,7d0dc59518,br=0 nl=0,21,
91408,アイス,冰淇淋,translated,proper-noun,e48a17956d,br=0 nl=0,21,
91409,アラウンドフレイム,环绕烈焰,translated,proper-noun,128fbddf53,br=0 nl=0,21,
91410,チーズ,奶酪,translated,proper-noun,32c454c2e5,br=0 nl=0,21,
91411,レンズ,镜片,translated,proper-noun,e7e7e13f8d,br=0 nl=0,21,
91412,セリフ,台词,translated,proper-noun,d3def4000e,br=0 nl=0,21,
91413,リアル,真实,translated,proper-noun,81f68fd113,br=0 nl=0,21,
91414,ネプトリュード,尼普特律德,translated,proper-noun,48a0c9f65d,br=0 nl=0,21,
91415,エスコート,护送,translated,proper-noun,3519daf229,br=0 nl=0,21,
91416,インストール,安装,translated,proper-noun,5da1515b77,br=0 nl=0,20,
91417,ーション,动作,translated,proper-noun,da5911cfdd,br=0 nl=0,20,
91418,アレンジ,改编,translated,proper-noun,a7f2ab107e,br=0 nl=0,20,
91419,テーマ,主题,translated,proper-noun,4561c17e3b,br=0 nl=0,20,
91420,ショート,短款,translated,proper-noun,58dd9da25c,br=0 nl=0,20,
91421,ネットワーク,网络,translated,proper-noun,12bc92db7d,br=0 nl=0,20,
91422,ペンダント,吊坠,translated,proper-noun,6e5059bf01,br=0 nl=0,20,
91423,パーカッション,打击乐,translated,proper-noun,b5c517e01d,br=0 nl=0,20,
91424,ダメダメ,不行不行,translated,proper-noun,89c25a449b,br=0 nl=0,20,
91425,コーンコン,咚咚咚,translated,proper-noun,f10633c13a,br=0 nl=0,20,
91426,アウトゴット,奥特戈德,translated,proper-noun,2e6a7a61e9,br=0 nl=0,19,
91427,ロザリオ,念珠,translated,proper-noun,5a0e6fd542,br=0 nl=0,19,
91428,コンパウンドケーキ,复合蛋糕,translated,proper-noun,e590519838,br=0 nl=0,19,
91429,カエル,青蛙,translated,proper-noun,e30cceba92,br=0 nl=0,19,
91430,プライムグラス,优质杯,translated,proper-noun,c0740930fb,br=0 nl=0,19,
91431,ページ,页,translated,proper-noun,b4f80c7418,br=0 nl=0,19,
91432,メイン,主要,translated,proper-noun,2a865a6304,br=0 nl=0,19,
91433,ヒント,提示,translated,proper-noun,faa6e70175,br=0 nl=0,19,
91434,スベスベ,光滑溜溜,translated,proper-noun,f0b882bde9,br=0 nl=0,19,
91435,ゲット,获得,translated,proper-noun,974689064a,br=0 nl=0,18,
91436,・シャール,・夏尔,translated,proper-noun,2620652a77,br=0 nl=0,18,
91437,マップ,地图,translated,proper-noun,5408c1debd,br=0 nl=0,18,
91438,アクアドーム,水穹顶,translated,proper-noun,28184de3df,br=0 nl=0,18,
91439,グッズ,周边商品,translated,proper-noun,1dacfa28b6,br=0 nl=0,18,
91440,チューンシロップ,调谐糖浆,translated,proper-noun,a8e0b6b1e3,br=0 nl=0,18,
91441,スッキリ,舒畅,translated,proper-noun,688731bbd5,br=0 nl=0,18,
91442,ニックネーム,昵称,translated,proper-noun,6e56ebe58f,br=0 nl=0,18,
91443,テンション,兴致,translated,proper-noun,f6979c0935,br=0 nl=0,18,
91444,データベース,数据库,translated,proper-noun,8ac57ca93d,br=0 nl=0,18,
91445,ファンタジー,奇幻,translated,proper-noun,a556f6f9b7,br=0 nl=0,18,
91446,ハッキリ,明确,translated,proper-noun,b5e27d3438,br=0 nl=0,18,
91447,ムード,气氛,translated,proper-noun,c9d4e1dac9,br=0 nl=0,18,
91448,フニフニ,软乎乎,translated,proper-noun,20851443b4,br=0 nl=0,18,
91449,キャラ,角色,translated,proper-noun,10014a4d68,br=0 nl=0,17,
91450,ダイブゲート,潜入之门,translated,proper-noun,8529653f64,br=0 nl=0,17,
91451,タイムライン,时间线,translated,proper-noun,0ded8c457d,br=0 nl=0,17,
91452,ロング,长款,translated,proper-noun,d71db03ed0,br=0 nl=0,17,
91453,パレード,游行,translated,proper-noun,bf99f399a2,br=0 nl=0,17,
91454,ベース,贝斯,translated,proper-noun,871d5ba3d9,br=0 nl=0,17,
91455,グラタン,芝士烤菜,translated,proper-noun,34b5f54193,br=0 nl=0,17,
91456,アルノレシーブ,Ar nosurge接收,translated,proper-noun,d8f97a2e03,br=0 nl=0,17,
91457,クリスマス,圣诞节,translated,proper-noun,a646289ad7,br=0 nl=0,17,
91458,リボン,缎带,translated,proper-noun,e988ec9eea,br=0 nl=0,17,
91459,イヤシーン,令人讨厌的场面,translated,proper-noun,6881e4156e,br=0 nl=0,17,
91460,カフェ・デ・コモ,科莫咖啡馆,translated,proper-noun,68d9657a89,br=0 nl=0,17,
91461,ゼリー,果冻,translated,proper-noun,5ecc5c4ab2,br=0 nl=0,17,
91462,チャーハン,炒饭,translated,proper-noun,e8306f6cf4,br=0 nl=0,17,
91463,ナイトフロッガー,夜间青蛙,translated,proper-noun,f02359e537,br=0 nl=0,17,
91464,フレアガード,耀斑护盾,translated,proper-noun,025da02a96,br=0 nl=0,17,
91465,ラシェールクイーン,拉榭拉女王,translated,proper-noun,ba95ad5021,br=0 nl=0,17,
91466,ジャンボパフェ,特大芭菲,translated,proper-noun,c0a7237ec9,br=0 nl=0,17,
91467,モード,模式,translated,proper-noun,97d717916b,br=0 nl=0,17,
91468,ビッグフラワー,大花朵,translated,proper-noun,b396966c6b,br=0 nl=0,17,
91469,ーーーー,――――,translated,proper-noun,b982202ff3,br=0 nl=0,17,
91470,チケット,门票,translated,proper-noun,3549da8852,br=0 nl=0,17,
91471,メゾン,公馆,translated,proper-noun,094246f195,br=0 nl=0,17,
91472,フェスティバル,节日,translated,proper-noun,cd862d420f,br=0 nl=0,17,
91473,ショー,表演,translated,proper-noun,86567ad788,br=0 nl=0,17,
91474,トロンネットワーク,特伦网络,translated,proper-noun,9e66ae3e01,br=0 nl=0,17,
91475,ホラー,恐怖,translated,proper-noun,1dec9772cd,br=0 nl=0,17,
91476,ジャンク,废品,translated,proper-noun,d7c254ccb4,br=0 nl=0,17,
91477,コマンド,指令,translated,proper-noun,49b7386bc1,br=0 nl=0,16,
91478,パワー,力量,translated,proper-noun,4c0c4a4c87,br=0 nl=0,16,
91479,オプション,选项,translated,proper-noun,6e0510a665,br=0 nl=0,16,
91480,カテゴリ,类别,translated,proper-noun,50462d5f5d,br=0 nl=0,16,
91481,キャンセル,取消,translated,proper-noun,269b0f92e4,br=0 nl=0,16,
91482,リコーダー,竖笛,translated,proper-noun,1448956b32,br=0 nl=0,16,
91483,メイド,女仆,translated,proper-noun,9c3aa8eee0,br=0 nl=0,16,
91484,ガラガラ,空空荡荡,translated,proper-noun,3d8d54d921,br=0 nl=0,16,
91485,ニュロスティック,喵洛棒,translated,proper-noun,b02e551593,br=0 nl=0,16,
91486,ハラハラドリンク,捏汗饮料,translated,proper-noun,1a113fdaff,br=0 nl=0,16,
91487,ルビーグラス,红宝石草,translated,proper-noun,8c35577fa5,br=0 nl=0,16,
91488,プリン,布丁,translated,proper-noun,3b8cc004a1,br=0 nl=0,16,
91489,メンテナンス,维护,translated,proper-noun,607de35093,br=0 nl=0,16,
91490,ジャム,果酱,translated,proper-noun,c8a10bab88,br=0 nl=0,16,
91491,ワガママ,任性,translated,proper-noun,95851911f1,br=0 nl=0,16,
91492,メンバー,成员,translated,proper-noun,b3085a2dbe,br=0 nl=0,16,
91493,コントロール,控制,translated,proper-noun,20dc27435f,br=0 nl=0,16,
91494,ハッキング,黑客入侵,translated,proper-noun,5176fe43ef,br=0 nl=0,16,
91495,パーク,公园,translated,proper-noun,28f69b5797,br=0 nl=0,16,
91496,レストラン,餐厅,translated,proper-noun,a4e764301c,br=0 nl=0,16,
91497,ステーキ,牛排,translated,proper-noun,88fd965aea,br=0 nl=0,16,
91498,レシピカード,配方卡,translated,proper-noun,6a0a9611e3,br=0 nl=0,16,
91499,ウエディングドレス,婚纱,translated,proper-noun,8b04cb8548,br=0 nl=0,16,
91500,バーコード,条形码,translated,proper-noun,c5d5c279b7,br=0 nl=0,15,
91501,クリア,通关,translated,proper-noun,a8e5152705,br=0 nl=0,15,
91502,レッドフレーム,红框,translated,proper-noun,c8fb0867d3,br=0 nl=0,15,
91503,リーベルドレス,利维尔礼服,translated,proper-noun,ab69535cb8,br=0 nl=0,15,
91504,ワンピース,连衣裙,translated,proper-noun,0a9d2cb812,br=0 nl=0,15,
91505,オサレカタログ,时髦目录,translated,proper-noun,6d24c7faee,br=0 nl=0,15,
91506,シエスタサンダル,午睡凉鞋,translated,proper-noun,19ce8b2a34,br=0 nl=0,15,
91507,フロスト,霜冻,translated,proper-noun,7df413ef6e,br=0 nl=0,15,
91508,ソース,酱汁,translated,proper-noun,36759ebf45,br=0 nl=0,15,
91509,フォーク,叉子,translated,proper-noun,664380bd2d,br=0 nl=0,15,
91510,マグネムメタル,磁能金属,translated,proper-noun,28640577a3,br=0 nl=0,15,
91511,メディアケーブル,媒体线缆,translated,proper-noun,9e239f8ed5,br=0 nl=0,15,
91512,リミッター,限制器,translated,proper-noun,0371f2af27,br=0 nl=0,15,
91513,デザイン・グラフィック,设计・平面,translated,proper-noun,9c670269cd,br=0 nl=0,15,
91514,エレキギター,电吉他,translated,proper-noun,1fa9044665,br=0 nl=0,15,
91515,アイリッシュブズーキー,爱尔兰布祖基琴,translated,proper-noun,d1c4382eb2,br=0 nl=0,15,
91516,アイリッシュブズーキ,爱尔兰布祖基琴,translated,proper-noun,420248b6f2,br=0 nl=0,15,
91517,ホイッスル,哨子,translated,proper-noun,f9c2bb1a8a,br=0 nl=0,15,
91518,ゴンドウトモヒコ,权藤知彦,translated,proper-noun,a262eab210,br=0 nl=0,15,
91519,フィラメント,灯丝,translated,proper-noun,a1a2c254d2,br=0 nl=0,15,
91520,コイツ,这家伙,translated,proper-noun,12120ab63e,br=0 nl=0,15,
91521,オリジナル,原创,translated,proper-noun,1bf1ff0410,br=0 nl=0,15,
91522,リーダー,队长,translated,proper-noun,2fa6e1dccb,br=0 nl=0,15,
91523,プライベート,私人,translated,proper-noun,e2a7c4ba18,br=0 nl=0,15,
91524,サポート,支援,translated,proper-noun,449c69d777,br=0 nl=0,15,
91525,シップ,飞船,translated,proper-noun,92f5579691,br=0 nl=0,15,
91526,ブロッコリー,西兰花,translated,proper-noun,bed0d9d62a,br=0 nl=0,15,
91527,ロマンチック,浪漫,translated,proper-noun,54bb2f3021,br=0 nl=0,15,
91528,ゴールデンウィーク,黄金周,translated,proper-noun,36cbc6b984,br=0 nl=0,15,
91529,フォーム,形态,translated,proper-noun,f90ebd6d03,br=0 nl=0,14,
91530,エピソード,篇章,translated,proper-noun,c55e82e928,br=0 nl=0,14,
91531,アイデア,点子,translated,proper-noun,73575c649a,br=0 nl=0,14,
91532,チューブカンパニー,管体公司,translated,proper-noun,c497c46392,br=0 nl=0,14,
91533,マスターレジストラ,主注册官,translated,proper-noun,26604a616a,br=0 nl=0,14,
91534,イチゴ,草莓,translated,proper-noun,1135db8368,br=0 nl=0,14,
91535,カメラ,相机,translated,proper-noun,fb6e4872b7,br=0 nl=0,14,
91536,ストロベリーセイル,草莓船,translated,proper-noun,a303e47a35,br=0 nl=0,14,
91537,ミソデココ,椰果味噌,translated,proper-noun,c78675af67,br=0 nl=0,14,
91538,ポイントカード,积分卡,translated,proper-noun,f77016e449,br=0 nl=0,14,
91539,コンデン,冷凝,translated,proper-noun,c1f106598f,br=0 nl=0,14,
91540,プログラマー,程序员,translated,proper-noun,00a1706077,br=0 nl=0,14,
91541,オフライン,离线,translated,proper-noun,d32cd8eb43,br=0 nl=0,14,
91542,ゴメン,抱歉,translated,proper-noun,541a2f62d9,br=0 nl=0,14,
91543,チュートリアル,教程,translated,proper-noun,fb3a3ef671,br=0 nl=0,14,
91544,クラス,级别,translated,proper-noun,8b27332ee0,br=0 nl=0,14,
91545,タイプライター,打字机,translated,proper-noun,6c25e8688f,br=0 nl=0,14,
91546,タータルカ,塔塔尔卡,translated,proper-noun,94304e4928,br=0 nl=0,14,
91547,ウインドウショッピング,逛街看橱窗,translated,proper-noun,6f1cd50e29,br=0 nl=0,14,
91548,マナー,礼仪,translated,proper-noun,9a459cea04,br=0 nl=0,14,
91549,オカッパ,齐耳短发,translated,proper-noun,1e752f79fb,br=0 nl=0,14,
91550,コスチューム,服装,translated,proper-noun,c6a5665f32,br=0 nl=0,13,
91551,クオリティ,品质,translated,proper-noun,9329abb4bf,br=0 nl=0,13,
91552,トップ,顶级,translated,proper-noun,5307be4b4d,br=0 nl=0,13,
91553,コミュニケーション,交流,translated,proper-noun,ed3a14b283,br=0 nl=0,13,
91554,ステータス,状态,translated,proper-noun,0a409cee23,br=0 nl=0,13,
91555,シンクロ,同步,translated,proper-noun,b075a321bc,br=0 nl=0,13,
91556,タワー,高塔,translated,proper-noun,5b7b361ba3,br=0 nl=0,13,
91557,ピアノ,钢琴,translated,proper-noun,64c0241201,br=0 nl=0,13,
91558,デコレーション,装饰,translated,proper-noun,7465a6161d,br=0 nl=0,13,
91559,シスター,修女,translated,proper-noun,d1b4e4f83b,br=0 nl=0,13,
91560,ストレス,压力,translated,proper-noun,056302b76f,br=0 nl=0,13,
91561,コップ,水杯,translated,proper-noun,d6a3164cd4,br=0 nl=0,13,
91562,シスターメギド,修女梅吉多,translated,proper-noun,d1a693d2e5,br=0 nl=0,13,
91563,シーズホワイト,种子白,translated,proper-noun,dd0c918bc1,br=0 nl=0,13,
91564,スチームメタル,蒸汽金属,translated,proper-noun,8d941f1eb3,br=0 nl=0,13,
91565,ディライトレンズ,悦目镜片,translated,proper-noun,60bc6aa28f,br=0 nl=0,13,
91566,ネリコポイントカード,妮莉库积分卡,translated,proper-noun,affe0ebdb4,br=0 nl=0,13,
91567,ヒューズ,保险丝,translated,proper-noun,61bb2a27a2,br=0 nl=0,13,
91568,フロストメタル,霜冻金属,translated,proper-noun,3774ce3fed,br=0 nl=0,13,
91569,ミュジル,缪汁,translated,proper-noun,ec1d7ab263,br=0 nl=0,13,
91570,フライパン,平底锅,translated,proper-noun,8c1616b49c,br=0 nl=0,13,
91571,プランナーズセクション,策划部门,translated,proper-noun,0d32843cb5,br=0 nl=0,13,
91572,キャラクターモデル,角色模型,translated,proper-noun,847a6758ec,br=0 nl=0,13,
91573,インターフェースデザイン,界面设计,translated,proper-noun,c1c661b0bb,br=0 nl=0,13,
91574,サウンドセクション,音效部门,translated,proper-noun,f692631407,br=0 nl=0,13,
91575,サウンドディレクター,音效总监,translated,proper-noun,87caf5e3c1,br=0 nl=0,13,
91576,デザイナー,设计师,translated,proper-noun,ed058a1ab0,br=0 nl=0,13,
91577,マーケティング,营销,translated,proper-noun,1039524fb1,br=0 nl=0,13,
91578,ソフトウェアマニュアル,软件手册,translated,proper-noun,9b5617111b,br=0 nl=0,13,
91579,キャラクターイラスト,角色插画,translated,proper-noun,8ffb0bbffd,br=0 nl=0,13,
91580,パッケージイラスト,包装插画,translated,proper-noun,11036680bc,br=0 nl=0,13,
91581,フブキ,吹雪,translated,proper-noun,40f5527db7,br=0 nl=0,13,
91582,ワールドデザイン,世界设定设计,translated,proper-noun,a0094128c7,br=0 nl=0,13,
91583,コスチュームデザイン,服装设计,translated,proper-noun,b483d19059,br=0 nl=0,13,
91584,ヤスヒロ,康弘,translated,proper-noun,9f6de2eec8,br=0 nl=0,13,
91585,タスクテロップ・,任务字幕・,translated,proper-noun,0cc4fdf5ee,br=0 nl=0,13,
91586,キャラデザイン,角色设计,translated,proper-noun,b81b238a3a,br=0 nl=0,13,
91587,シナリオ・,剧本・,translated,proper-noun,8e2f7f288b,br=0 nl=0,13,
91588,デザイン・モデリング・アニメーション,设计・建模・动画,translated,proper-noun,38967eaa41,br=0 nl=0,13,
91589,キャラクターモデリング,角色建模,translated,proper-noun,8148a92946,br=0 nl=0,13,
